"rank";"LName";"X";"Y";"Z";"facies";"Porosity";"sel"
"68";68;1;35;645;-1029.75;4;0.01;FALSE
"69";69;1;35;645;-1030.25;3;0.21;TRUE
"70";70;1;35;645;-1030.75;3;0.21;TRUE
"71";71;1;35;645;-1031.25;3;0.22;TRUE
"72";72;1;35;645;-1031.75;3;0.21;TRUE
"73";73;1;35;645;-1032.25;3;0.22;TRUE
"74";74;1;35;645;-1032.75;3;0.21;TRUE
"75";75;1;35;645;-1033.25;3;0.21;TRUE
"76";76;1;35;645;-1033.75;3;0.22;TRUE
"77";77;1;35;645;-1034.25;3;0.22;TRUE
"78";78;1;35;645;-1034.75;3;0.22;TRUE
"79";79;1;35;645;-1035.25;3;0.23;TRUE
"80";80;1;35;645;-1035.75;3;0.22;TRUE
"81";81;1;35;645;-1036.25;3;0.23;TRUE
"82";82;1;35;645;-1036.75;3;0.23;TRUE
"83";83;1;35;645;-1037.25;2;0.21;FALSE
"84";84;1;35;645;-1037.75;2;0.22;FALSE
"85";85;1;35;645;-1038.25;2;0.23;FALSE
"86";86;1;35;645;-1038.75;2;0.25;FALSE
"87";87;1;35;645;-1039.25;2;0.26;FALSE
"88";88;1;35;645;-1039.75;2;0.27;FALSE
"89";89;1;35;645;-1040.25;2;0.28;FALSE
"90";90;1;35;645;-1040.75;3;0.22;TRUE
"91";91;1;35;645;-1041.25;3;0.22;TRUE
"92";92;1;35;645;-1041.75;3;0.23;TRUE
"93";93;1;35;645;-1042.25;3;0.23;TRUE
"94";94;1;35;645;-1042.75;4;0.01;FALSE
"95";95;1;35;645;-1043.25;4;0.01;FALSE
"96";96;1;35;645;-1043.75;3;0.23;TRUE
"97";97;1;35;645;-1044.25;3;0.24;TRUE
"98";98;1;35;645;-1044.75;3;0.24;TRUE
"99";99;1;35;645;-1045.25;3;0.23;TRUE
"100";100;1;35;645;-1045.75;1;0.31;FALSE
"101";101;1;35;645;-1046.25;1;0.3;FALSE
"102";102;1;35;645;-1046.75;1;0.31;FALSE
"103";103;1;35;645;-1047.25;2;0.34;FALSE
"104";104;1;35;645;-1047.75;2;0.34;FALSE
"105";105;1;35;645;-1048.25;1;0.34;FALSE
"106";106;1;35;645;-1048.75;2;0.33;FALSE
"107";107;1;35;645;-1049.25;1;0.34;FALSE
"108";108;1;35;645;-1049.75;1;0.36;FALSE
"109";109;1;35;645;-1050.25;2;0.3;FALSE
"110";110;1;35;645;-1050.75;2;0.29;FALSE
"111";111;1;35;645;-1051.25;2;0.28;FALSE
"112";112;1;35;645;-1051.75;2;0.27;FALSE
"113";113;1;35;645;-1052.25;2;0.26;FALSE
"114";114;1;35;645;-1052.75;3;0.26;TRUE
"115";115;2;145;775;-990.25;3;0.19;TRUE
"116";116;2;145;775;-990.75;3;0.19;TRUE
"117";117;2;145;775;-991.25;3;0.2;TRUE
"118";118;2;145;775;-991.75;3;0.2;TRUE
"119";119;2;145;775;-992.25;3;0.19;TRUE
"120";120;2;145;775;-992.75;3;0.17;TRUE
"121";121;2;145;775;-993.25;3;0.18;TRUE
"122";122;2;145;775;-993.75;3;0.18;TRUE
"123";123;2;145;775;-994.25;4;0.01;FALSE
"124";124;2;145;775;-994.75;3;0.18;TRUE
"125";125;2;145;775;-995.25;3;0.18;TRUE
"126";126;2;145;775;-995.75;3;0.17;TRUE
"127";127;2;145;775;-996.25;3;0.16;TRUE
"128";128;2;145;775;-996.75;3;0.16;TRUE
"129";129;2;145;775;-997.25;2;0.26;FALSE
"130";130;2;145;775;-997.75;3;0.17;TRUE
"131";131;2;145;775;-998.25;3;0.16;TRUE
"132";132;2;145;775;-998.75;1;0.37;FALSE
"133";133;2;145;775;-999.25;1;0.36;FALSE
"134";134;2;145;775;-999.75;1;0.38;FALSE
"135";135;2;145;775;-1000.25;1;0.39;FALSE
"136";136;2;145;775;-1000.75;1;0.38;FALSE
"137";137;2;145;775;-1001.25;1;0.36;FALSE
"138";138;2;145;775;-1001.75;1;0.38;FALSE
"139";139;2;145;775;-1002.25;1;0.4;FALSE
"140";140;2;145;775;-1002.75;1;0.42;FALSE
"141";141;2;145;775;-1003.25;1;0.39;FALSE
"142";142;2;145;775;-1003.75;1;0.4;FALSE
"143";143;2;145;775;-1004.25;1;0.41;FALSE
"144";144;2;145;775;-1004.75;1;0.41;FALSE
"145";145;2;145;775;-1005.25;1;0.41;FALSE
"146";146;2;145;775;-1005.75;1;0.42;FALSE
"147";147;2;145;775;-1006.25;1;0.4;FALSE
"148";148;2;145;775;-1006.75;1;0.4;FALSE
"149";149;2;145;775;-1007.25;1;0.38;FALSE
"150";150;2;145;775;-1007.75;1;0.38;FALSE
"151";151;2;145;775;-1008.25;1;0.37;FALSE
"152";152;2;145;775;-1008.75;1;0.36;FALSE
"153";153;2;145;775;-1009.25;1;0.36;FALSE
"154";154;2;145;775;-1009.75;3;0.19;TRUE
"155";155;2;145;775;-1010.25;3;0.18;TRUE
"156";156;2;145;775;-1010.75;3;0.18;TRUE
"157";157;2;145;775;-1011.25;4;0.01;FALSE
"158";158;2;145;775;-1011.75;3;0.18;TRUE
"159";159;2;145;775;-1012.25;3;0.18;TRUE
"160";160;2;145;775;-1012.75;2;0.26;FALSE
"161";161;2;145;775;-1013.25;2;0.26;FALSE
"162";162;2;145;775;-1013.75;2;0.27;FALSE
"163";163;2;145;775;-1014.25;2;0.27;FALSE
"164";164;2;145;775;-1014.75;2;0.27;FALSE
"165";165;2;145;775;-1015.25;2;0.28;FALSE
"166";166;2;145;775;-1015.75;3;0.16;TRUE
"167";167;2;145;775;-1016.25;3;0.17;TRUE
"168";168;2;145;775;-1016.75;3;0.17;TRUE
"169";169;2;145;775;-1017.25;3;0.17;TRUE
"170";170;2;145;775;-1017.75;3;0.17;TRUE
"171";171;2;145;775;-1018.25;3;0.16;TRUE
"172";172;2;145;775;-1018.75;3;0.17;TRUE
"173";173;2;145;775;-1019.25;4;0.01;FALSE
"174";174;2;145;775;-1019.75;4;0.01;FALSE
"175";175;2;145;775;-1020.25;4;0.01;FALSE
"176";176;2;145;775;-1020.75;4;0.01;FALSE
"177";177;2;145;775;-1021.25;4;0.01;FALSE
"178";178;2;145;775;-1021.75;4;0.01;FALSE
"179";179;2;145;775;-1022.25;4;0.01;FALSE
"180";180;2;145;775;-1022.75;4;0.01;FALSE
"181";181;2;145;775;-1023.25;4;0.01;FALSE
"182";182;2;145;775;-1023.75;3;0.18;TRUE
"183";183;2;145;775;-1024.25;3;0.19;TRUE
"184";184;2;145;775;-1024.75;3;0.18;TRUE
"185";185;2;145;775;-1025.25;3;0.19;TRUE
"186";186;2;145;775;-1025.75;3;0.2;TRUE
"187";187;2;145;775;-1026.25;3;0.21;TRUE
"188";188;2;145;775;-1026.75;3;0.21;TRUE
"189";189;2;145;775;-1027.25;3;0.2;TRUE
"190";190;2;145;775;-1027.75;3;0.21;TRUE
"191";191;2;145;775;-1028.25;3;0.21;TRUE
"192";192;2;145;775;-1028.75;3;0.2;TRUE
"193";193;2;145;775;-1029.25;3;0.21;TRUE
"194";194;2;145;775;-1029.75;3;0.21;TRUE
"195";195;2;145;775;-1030.25;3;0.22;TRUE
"196";196;2;145;775;-1030.75;3;0.23;TRUE
"197";197;2;145;775;-1031.25;3;0.22;TRUE
"198";198;2;145;775;-1031.75;3;0.22;TRUE
"199";199;2;145;775;-1032.25;3;0.22;TRUE
"200";200;2;145;775;-1032.75;3;0.22;TRUE
"201";201;2;145;775;-1033.25;3;0.23;TRUE
"202";202;2;145;775;-1033.75;3;0.23;TRUE
"203";203;2;145;775;-1034.25;4;0.01;FALSE
"204";204;2;145;775;-1034.75;3;0.22;TRUE
"205";205;2;145;775;-1035.25;3;0.22;TRUE
"206";206;2;145;775;-1035.75;3;0.22;TRUE
"207";207;2;145;775;-1036.25;2;0.19;FALSE
"208";208;2;145;775;-1036.75;3;0.23;TRUE
"209";209;2;145;775;-1037.25;1;0.33;FALSE
"210";210;2;145;775;-1037.75;1;0.32;FALSE
"211";211;2;145;775;-1038.25;1;0.33;FALSE
"212";212;2;145;775;-1038.75;1;0.32;FALSE
"213";213;2;145;775;-1039.25;1;0.34;FALSE
"214";214;2;145;775;-1039.75;1;0.34;FALSE
"215";215;2;145;775;-1040.25;1;0.33;FALSE
"216";216;2;145;775;-1040.75;1;0.33;FALSE
"217";217;2;145;775;-1041.25;1;0.35;FALSE
"218";218;2;145;775;-1041.75;1;0.33;FALSE
"219";219;2;145;775;-1042.25;2;0.28;FALSE
"220";220;2;145;775;-1042.75;2;0.3;FALSE
"221";221;2;145;775;-1043.25;2;0.31;FALSE
"222";222;2;145;775;-1043.75;2;0.33;FALSE
"223";223;2;145;775;-1044.25;2;0.34;FALSE
"224";224;2;145;775;-1044.75;2;0.35;FALSE
"225";225;2;145;775;-1045.25;2;0.35;FALSE
"226";226;3;155;1005;-1004.25;2;0.18;FALSE
"227";227;3;155;1005;-1004.75;3;0.18;TRUE
"228";228;3;155;1005;-1005.25;1;0.39;FALSE
"229";229;3;155;1005;-1005.75;1;0.38;FALSE
"230";230;3;155;1005;-1006.25;1;0.39;FALSE
"231";231;3;155;1005;-1006.75;1;0.37;FALSE
"232";232;3;155;1005;-1007.25;1;0.36;FALSE
"233";233;3;155;1005;-1007.75;1;0.36;FALSE
"234";234;3;155;1005;-1008.25;1;0.38;FALSE
"235";235;3;155;1005;-1008.75;1;0.4;FALSE
"236";236;3;155;1005;-1009.25;1;0.37;FALSE
"237";237;3;155;1005;-1009.75;1;0.35;FALSE
"238";238;3;155;1005;-1010.25;1;0.36;FALSE
"239";239;3;155;1005;-1010.75;1;0.35;FALSE
"240";240;3;155;1005;-1011.25;1;0.37;FALSE
"241";241;3;155;1005;-1011.75;1;0.36;FALSE
"242";242;3;155;1005;-1012.25;1;0.35;FALSE
"243";243;3;155;1005;-1012.75;1;0.34;FALSE
"244";244;3;155;1005;-1013.25;1;0.35;FALSE
"245";245;3;155;1005;-1013.75;1;0.34;FALSE
"246";246;3;155;1005;-1014.25;1;0.34;FALSE
"247";247;3;155;1005;-1014.75;1;0.35;FALSE
"248";248;3;155;1005;-1015.25;1;0.35;FALSE
"249";249;3;155;1005;-1015.75;1;0.35;FALSE
"250";250;3;155;1005;-1016.25;1;0.35;FALSE
"251";251;3;155;1005;-1016.75;1;0.34;FALSE
"252";252;3;155;1005;-1017.25;1;0.33;FALSE
"253";253;3;155;1005;-1017.75;1;0.33;FALSE
"254";254;3;155;1005;-1018.25;3;0.19;TRUE
"255";255;3;155;1005;-1018.75;3;0.2;TRUE
"256";256;3;155;1005;-1019.25;2;0.24;FALSE
"257";257;3;155;1005;-1019.75;2;0.23;FALSE
"258";258;3;155;1005;-1020.25;2;0.23;FALSE
"259";259;3;155;1005;-1020.75;2;0.22;FALSE
"260";260;3;155;1005;-1021.25;2;0.22;FALSE
"261";261;3;155;1005;-1021.75;2;0.23;FALSE
"262";262;3;155;1005;-1022.25;3;0.19;TRUE
"263";263;3;155;1005;-1022.75;3;0.19;TRUE
"264";264;3;155;1005;-1023.25;3;0.19;TRUE
"265";265;3;155;1005;-1023.75;3;0.19;TRUE
"266";266;3;155;1005;-1024.25;3;0.19;TRUE
"267";267;3;155;1005;-1024.75;4;0.01;FALSE
"268";268;3;155;1005;-1025.25;4;0.01;FALSE
"269";269;3;155;1005;-1025.75;4;0.01;FALSE
"270";270;3;155;1005;-1026.25;4;0.01;FALSE
"271";271;3;155;1005;-1026.75;4;0.01;FALSE
"272";272;3;155;1005;-1027.25;4;0.01;FALSE
"273";273;3;155;1005;-1027.75;4;0.01;FALSE
"274";274;3;155;1005;-1028.25;4;0.01;FALSE
"275";275;3;155;1005;-1028.75;3;0.2;TRUE
"276";276;3;155;1005;-1029.25;3;0.2;TRUE
"277";277;3;155;1005;-1029.75;3;0.2;TRUE
"278";278;3;155;1005;-1030.25;3;0.21;TRUE
"279";279;3;155;1005;-1030.75;3;0.22;TRUE
"280";280;3;155;1005;-1031.25;3;0.21;TRUE
"281";281;3;155;1005;-1031.75;3;0.19;TRUE
"282";282;3;155;1005;-1032.25;2;0.24;FALSE
"283";283;3;155;1005;-1032.75;2;0.23;FALSE
"284";284;3;155;1005;-1033.25;2;0.22;FALSE
"285";285;3;155;1005;-1033.75;2;0.22;FALSE
"286";286;3;155;1005;-1034.25;2;0.21;FALSE
"287";287;3;155;1005;-1034.75;2;0.2;FALSE
"288";288;3;155;1005;-1035.25;2;0.2;FALSE
"289";289;3;155;1005;-1035.75;2;0.19;FALSE
"290";290;3;155;1005;-1036.25;1;0.34;FALSE
"291";291;3;155;1005;-1036.75;1;0.35;FALSE
"292";292;3;155;1005;-1037.25;1;0.36;FALSE
"293";293;3;155;1005;-1037.75;1;0.38;FALSE
"294";294;3;155;1005;-1038.25;1;0.37;FALSE
"295";295;3;155;1005;-1038.75;1;0.38;FALSE
"296";296;3;155;1005;-1039.25;1;0.39;FALSE
"297";297;3;155;1005;-1039.75;1;0.37;FALSE
"298";298;3;155;1005;-1040.25;1;0.36;FALSE
"299";299;3;155;1005;-1040.75;1;0.38;FALSE
"300";300;3;155;1005;-1041.25;2;0.23;FALSE
"301";301;3;155;1005;-1041.75;2;0.24;FALSE
"302";302;3;155;1005;-1042.25;2;0.25;FALSE
"303";303;3;155;1005;-1042.75;2;0.26;FALSE
"304";304;4;175;625;-997.75;3;0.18;TRUE
"305";305;4;175;625;-998.25;3;0.17;TRUE
"306";306;4;175;625;-998.75;3;0.16;TRUE
"307";307;4;175;625;-999.25;3;0.17;TRUE
"308";308;4;175;625;-999.75;3;0.18;TRUE
"309";309;4;175;625;-1000.25;3;0.18;TRUE
"310";310;4;175;625;-1000.75;3;0.18;TRUE
"311";311;4;175;625;-1001.25;3;0.18;TRUE
"312";312;4;175;625;-1001.75;3;0.17;TRUE
"313";313;4;175;625;-1002.25;3;0.18;TRUE
"314";314;4;175;625;-1002.75;3;0.18;TRUE
"315";315;4;175;625;-1003.25;3;0.17;TRUE
"316";316;4;175;625;-1003.75;3;0.16;TRUE
"317";317;4;175;625;-1004.25;2;0.2;FALSE
"318";318;4;175;625;-1004.75;2;0.2;FALSE
"319";319;4;175;625;-1005.25;2;0.2;FALSE
"320";320;4;175;625;-1005.75;3;0.16;TRUE
"321";321;4;175;625;-1006.25;1;0.41;FALSE
"322";322;4;175;625;-1006.75;1;0.38;FALSE
"323";323;4;175;625;-1007.25;1;0.37;FALSE
"324";324;4;175;625;-1007.75;1;0.4;FALSE
"325";325;4;175;625;-1008.25;3;0.17;TRUE
"326";326;4;175;625;-1008.75;3;0.18;TRUE
"327";327;4;175;625;-1009.25;3;0.18;TRUE
"328";328;4;175;625;-1009.75;3;0.18;TRUE
"329";329;4;175;625;-1010.25;1;0.4;FALSE
"330";330;4;175;625;-1010.75;2;0.24;FALSE
"331";331;4;175;625;-1011.25;2;0.24;FALSE
"332";332;4;175;625;-1011.75;3;0.16;TRUE
"333";333;4;175;625;-1012.25;3;0.16;TRUE
"334";334;4;175;625;-1012.75;3;0.17;TRUE
"335";335;4;175;625;-1013.25;3;0.17;TRUE
"336";336;4;175;625;-1013.75;3;0.17;TRUE
"337";337;4;175;625;-1014.25;3;0.16;TRUE
"338";338;4;175;625;-1014.75;3;0.16;TRUE
"339";339;4;175;625;-1015.25;4;0.01;FALSE
"340";340;4;175;625;-1015.75;4;0.01;FALSE
"341";341;4;175;625;-1016.25;4;0.01;FALSE
"342";342;4;175;625;-1016.75;3;0.16;TRUE
"343";343;4;175;625;-1017.25;3;0.16;TRUE
"344";344;4;175;625;-1017.75;3;0.15;TRUE
"345";345;4;175;625;-1018.25;3;0.16;TRUE
"346";346;4;175;625;-1018.75;3;0.15;TRUE
"347";347;4;175;625;-1019.25;3;0.15;TRUE
"348";348;4;175;625;-1019.75;3;0.14;TRUE
"349";349;4;175;625;-1020.25;3;0.15;TRUE
"350";350;4;175;625;-1020.75;3;0.15;TRUE
"351";351;4;175;625;-1021.25;3;0.14;TRUE
"352";352;4;175;625;-1021.75;3;0.15;TRUE
"353";353;4;175;625;-1022.25;3;0.15;TRUE
"354";354;4;175;625;-1022.75;3;0.16;TRUE
"355";355;4;175;625;-1023.25;3;0.17;TRUE
"356";356;4;175;625;-1023.75;3;0.18;TRUE
"357";357;4;175;625;-1024.25;3;0.19;TRUE
"358";358;4;175;625;-1024.75;3;0.17;TRUE
"359";359;4;175;625;-1025.25;3;0.19;TRUE
"360";360;4;175;625;-1025.75;3;0.19;TRUE
"361";361;4;175;625;-1026.25;3;0.2;TRUE
"362";362;4;175;625;-1026.75;3;0.2;TRUE
"363";363;4;175;625;-1027.25;3;0.21;TRUE
"364";364;4;175;625;-1027.75;3;0.21;TRUE
"365";365;4;175;625;-1028.25;3;0.21;TRUE
"366";366;4;175;625;-1028.75;3;0.2;TRUE
"367";367;4;175;625;-1029.25;4;0.01;FALSE
"368";368;4;175;625;-1029.75;4;0.01;FALSE
"369";369;4;175;625;-1030.25;3;0.2;TRUE
"370";370;4;175;625;-1030.75;3;0.22;TRUE
"371";371;4;175;625;-1031.25;3;0.22;TRUE
"372";372;4;175;625;-1031.75;3;0.22;TRUE
"373";373;4;175;625;-1032.25;3;0.23;TRUE
"374";374;4;175;625;-1032.75;3;0.24;TRUE
"375";375;4;175;625;-1033.25;2;0.29;FALSE
"376";376;4;175;625;-1033.75;2;0.28;FALSE
"377";377;4;175;625;-1034.25;2;0.27;FALSE
"378";378;4;175;625;-1034.75;2;0.26;FALSE
"379";379;4;175;625;-1035.25;2;0.25;FALSE
"380";380;4;175;625;-1035.75;2;0.24;FALSE
"381";381;4;175;625;-1036.25;2;0.23;FALSE
"382";382;4;175;625;-1036.75;2;0.22;FALSE
"383";383;4;175;625;-1037.25;2;0.22;FALSE
"384";384;4;175;625;-1037.75;2;0.22;FALSE
"385";385;4;175;625;-1038.25;2;0.23;FALSE
"386";386;4;175;625;-1038.75;2;0.23;FALSE
"387";387;4;175;625;-1039.25;2;0.24;FALSE
"388";388;4;175;625;-1039.75;3;0.24;TRUE
"389";389;4;175;625;-1040.25;3;0.23;TRUE
"390";390;4;175;625;-1040.75;3;0.23;TRUE
"391";391;4;175;625;-1041.25;3;0.23;TRUE
"392";392;4;175;625;-1041.75;3;0.23;TRUE
"393";393;4;175;625;-1042.25;3;0.23;TRUE
"394";394;4;175;625;-1042.75;3;0.23;TRUE
"395";395;4;175;625;-1043.25;3;0.24;TRUE
"396";396;4;175;625;-1043.75;3;0.24;TRUE
"397";397;4;175;625;-1044.25;3;0.25;TRUE
"398";398;4;175;625;-1044.75;4;0.01;FALSE
"399";399;4;175;625;-1045.25;4;0.01;FALSE
"400";400;4;175;625;-1045.75;4;0.01;FALSE
"401";401;4;175;625;-1046.25;3;0.24;TRUE
"402";402;4;175;625;-1046.75;3;0.22;TRUE
"403";403;4;175;625;-1047.25;2;0.34;FALSE
"404";404;4;175;625;-1047.75;2;0.34;FALSE
"405";405;4;175;625;-1048.25;2;0.33;FALSE
"406";406;4;175;625;-1048.75;2;0.32;FALSE
"407";407;4;175;625;-1049.25;2;0.32;FALSE
"408";408;4;175;625;-1049.75;2;0.31;FALSE
"409";409;4;175;625;-1050.25;3;0.23;TRUE
"410";410;4;175;625;-1050.75;3;0.23;TRUE
"411";411;4;175;625;-1051.25;3;0.23;TRUE
"412";412;4;175;625;-1051.75;3;0.24;TRUE
"413";413;4;175;625;-1052.25;3;0.24;TRUE
"414";414;4;175;625;-1052.75;3;0.25;TRUE
"415";415;4;175;625;-1053.25;3;0.24;TRUE
"416";416;4;175;625;-1053.75;3;0.24;TRUE
"417";417;4;175;625;-1054.25;3;0.24;TRUE
"418";418;4;175;625;-1054.75;3;0.24;TRUE
"419";419;5;275;1265;-1021.25;3;0.17;TRUE
"420";420;5;275;1265;-1021.75;3;0.17;TRUE
"421";421;5;275;1265;-1022.25;4;0.01;FALSE
"422";422;5;275;1265;-1022.75;4;0.01;FALSE
"423";423;5;275;1265;-1023.25;1;0.3;FALSE
"424";424;5;275;1265;-1023.75;2;0.24;FALSE
"425";425;5;275;1265;-1024.25;1;0.31;FALSE
"426";426;5;275;1265;-1024.75;1;0.32;FALSE
"427";427;5;275;1265;-1025.25;2;0.25;FALSE
"428";428;5;275;1265;-1025.75;1;0.32;FALSE
"429";429;5;275;1265;-1026.25;1;0.3;FALSE
"430";430;5;275;1265;-1026.75;1;0.32;FALSE
"431";431;5;275;1265;-1027.25;1;0.32;FALSE
"432";432;5;275;1265;-1027.75;1;0.35;FALSE
"433";433;5;275;1265;-1028.25;1;0.35;FALSE
"434";434;5;275;1265;-1028.75;1;0.34;FALSE
"435";435;5;275;1265;-1029.25;1;0.36;FALSE
"436";436;5;275;1265;-1029.75;1;0.36;FALSE
"437";437;5;275;1265;-1030.25;3;0.18;TRUE
"438";438;5;275;1265;-1030.75;3;0.18;TRUE
"439";439;5;275;1265;-1031.25;3;0.17;TRUE
"440";440;5;275;1265;-1031.75;3;0.17;TRUE
"441";441;5;275;1265;-1032.25;3;0.17;TRUE
"442";442;5;275;1265;-1032.75;4;0.01;FALSE
"443";443;5;275;1265;-1033.25;3;0.18;TRUE
"444";444;5;275;1265;-1033.75;2;0.19;FALSE
"445";445;5;275;1265;-1034.25;3;0.17;TRUE
"446";446;5;275;1265;-1034.75;3;0.17;TRUE
"447";447;5;275;1265;-1035.25;3;0.17;TRUE
"448";448;5;275;1265;-1035.75;3;0.17;TRUE
"449";449;5;275;1265;-1036.25;3;0.17;TRUE
"450";450;5;275;1265;-1036.75;4;0.01;FALSE
"451";451;5;275;1265;-1037.25;3;0.18;TRUE
"452";452;5;275;1265;-1037.75;3;0.19;TRUE
"453";453;5;275;1265;-1038.25;3;0.2;TRUE
"454";454;5;275;1265;-1038.75;3;0.19;TRUE
"455";455;5;275;1265;-1039.25;2;0.16;FALSE
"456";456;5;275;1265;-1039.75;2;0.18;FALSE
"457";457;5;275;1265;-1040.25;2;0.18;FALSE
"458";458;5;275;1265;-1040.75;2;0.19;FALSE
"459";459;5;275;1265;-1041.25;2;0.2;FALSE
"460";460;5;275;1265;-1041.75;2;0.21;FALSE
"461";461;5;275;1265;-1042.25;2;0.21;FALSE
"462";462;5;275;1265;-1042.75;2;0.22;FALSE
"463";463;5;275;1265;-1043.25;2;0.23;FALSE
"464";464;5;275;1265;-1043.75;3;0.21;TRUE
"465";465;5;275;1265;-1044.25;3;0.21;TRUE
"466";466;5;275;1265;-1044.75;3;0.21;TRUE
"467";467;5;275;1265;-1045.25;3;0.21;TRUE
"468";468;5;275;1265;-1045.75;3;0.21;TRUE
"469";469;5;275;1265;-1046.25;3;0.22;TRUE
"470";470;5;275;1265;-1046.75;2;0.26;FALSE
"471";471;5;275;1265;-1047.25;2;0.27;FALSE
"472";472;5;275;1265;-1047.75;2;0.27;FALSE
"473";473;5;275;1265;-1048.25;2;0.27;FALSE
"474";474;5;275;1265;-1048.75;2;0.26;FALSE
"475";475;5;275;1265;-1049.25;2;0.26;FALSE
"476";476;5;275;1265;-1049.75;2;0.25;FALSE
"477";477;5;275;1265;-1050.25;3;0.2;TRUE
"478";478;6;315;565;-1002.25;2;0.2;FALSE
"479";479;6;315;565;-1002.75;3;0.17;TRUE
"480";480;6;315;565;-1003.25;3;0.17;TRUE
"481";481;6;315;565;-1003.75;3;0.18;TRUE
"482";482;6;315;565;-1004.25;2;0.22;FALSE
"483";483;6;315;565;-1004.75;3;0.18;TRUE
"484";484;6;315;565;-1005.25;3;0.17;TRUE
"485";485;6;315;565;-1005.75;3;0.17;TRUE
"486";486;6;315;565;-1006.25;3;0.17;TRUE
"487";487;6;315;565;-1006.75;3;0.18;TRUE
"488";488;6;315;565;-1007.25;3;0.17;TRUE
"489";489;6;315;565;-1007.75;3;0.17;TRUE
"490";490;6;315;565;-1008.25;1;0.39;FALSE
"491";491;6;315;565;-1008.75;1;0.4;FALSE
"492";492;6;315;565;-1009.25;1;0.39;FALSE
"493";493;6;315;565;-1009.75;1;0.41;FALSE
