X;Y;Z;cat;phi
5.7;-1;-4.95;4;0.46
5.7;-1;-4.98;4;0.41
5.7;-1;-5.01;4;0.49
5.7;-1;-5.04;4;0.48
5.7;-1;-5.07;4;0.48
5.7;-1;-5.10;4;0.47
5.7;-1;-5.13;4;0.43
5.7;-1;-5.16;4;0.44
5.7;-1;-5.19;4;0.50
5.7;-1;-5.22;4;0.43
5.7;-1;-5.25;4;0.40
5.7;-1;-5.28;4;0.48
5.7;-1;-5.31;4;0.49
5.7;-1;-5.34;4;0.49
5.7;-1;-5.37;4;0.42
5.7;-1;-5.40;4;0.45
5.7;-1;-5.43;4;0.47
5.7;-1;-5.46;4;0.49
5.7;-1;-5.49;4;0.48
5.7;-1;-5.52;4;0.48
5.7;-1;-5.55;4;0.44
5.7;-1;-5.61;5;0.25
5.7;-1;-5.64;5;0.33
5.7;-1;-5.67;5;0.29
5.7;-1;-5.70;5;0.35
5.7;-1;-5.73;5;0.30
5.7;-1;-5.76;5;0.30
5.7;-1;-5.79;5;0.31
5.7;-1;-5.82;5;0.29
5.7;-1;-5.85;5;0.30
5.7;-1;-5.88;5;0.30
5.7;-1;-5.91;5;0.35
5.7;-1;-5.94;5;0.27
5.7;-1;-5.97;5;0.33
5.7;-1;-6.00;5;0.27
5.7;-1;-6.03;5;0.31
5.7;-1;-6.06;5;0.29
5.7;-1;-6.09;5;0.29
5.7;-1;-6.12;5;0.32
5.7;-1;-6.15;5;0.27
5.7;-1;-6.18;5;0.31
5.7;-1;-6.21;5;0.30
5.7;-1;-6.24;5;0.29
5.7;-1;-6.27;5;0.33
5.7;-1;-6.30;5;0.28
5.7;-1;-6.33;5;0.28
5.7;-1;-6.36;5;0.34
5.7;-1;-6.39;5;0.26
5.7;-1;-6.42;5;0.28
5.7;-1;-6.45;5;0.35
5.7;-1;-6.48;5;0.28
5.7;-1;-6.51;5;0.35
5.7;-1;-6.54;5;0.33
5.7;-1;-6.60;5;0.27
5.7;-1;-6.63;5;0.27
5.7;-1;-6.66;5;0.33
5.7;-1;-6.69;5;0.30
5.7;-1;-6.72;5;0.27
5.7;-1;-6.75;5;0.29
5.7;-1;-6.78;5;0.27
5.7;-1;-6.81;5;0.28
5.7;-1;-6.84;5;0.32
5.7;-1;-6.87;5;0.34
5.7;-1;-6.90;5;0.28
5.7;-1;-6.93;5;0.26
5.7;-1;-7.11;3;0.40
5.7;-1;-7.14;3;0.44
5.7;-1;-7.17;3;0.49
5.7;-1;-7.20;3;0.42
5.7;-1;-7.23;3;0.48
5.7;-1;-7.26;3;0.48
5.7;-1;-7.29;3;0.44
5.7;-1;-7.32;3;0.47
5.7;-1;-7.35;3;0.47
5.7;-1;-7.41;4;0.45
5.7;-1;-7.44;4;0.43
5.7;-1;-7.47;4;0.49
5.7;-1;-7.50;4;0.50
5.7;-1;-7.53;4;0.40
5.7;-1;-7.56;4;0.43
5.7;-1;-7.59;4;0.47
5.7;-1;-7.62;4;0.40
5.7;-1;-7.65;4;0.41
5.7;-1;-7.68;4;0.41
5.7;-1;-7.71;4;0.44
5.7;-1;-7.74;4;0.49
5.7;-1;-7.77;4;0.45
5.7;-1;-7.80;4;0.44
5.7;-1;-7.83;4;0.47
5.7;-1;-7.86;4;0.46
5.7;-1;-7.89;4;0.48
5.7;-1;-7.92;4;0.42
5.7;-1;-7.95;4;0.47
5.7;-1;-8.01;5;0.31
5.7;-1;-8.04;5;0.26
5.7;-1;-8.07;5;0.26
5.7;-1;-8.10;5;0.25
5.7;-1;-8.13;5;0.34
5.7;-1;-8.16;5;0.26
5.7;-1;-8.19;5;0.26
5.7;-1;-8.22;5;0.32
5.7;-1;-8.25;5;0.28
5.7;-1;-8.28;5;0.28
5.7;-1;-8.31;5;0.31
5.7;-1;-8.34;5;0.27
5.7;-1;-8.37;5;0.28
5.7;-1;-8.40;5;0.25
5.7;-1;-8.43;5;0.28
5.7;-1;-8.46;5;0.31
5.7;-1;-8.49;5;0.28
5.7;-1;-8.52;5;0.32
5.7;-1;-8.55;5;0.31
5.7;-1;-8.58;5;0.35
5.7;-1;-8.61;5;0.29
5.7;-1;-8.64;5;0.26
5.7;-1;-8.67;5;0.30
5.7;-1;-8.70;5;0.31
5.7;-1;-8.76;6;0.33
5.7;-1;-8.79;6;0.27
5.7;-1;-8.82;6;0.35
5.7;-1;-8.85;6;0.34
5.7;-1;-8.88;6;0.27
5.7;-1;-8.91;6;0.32
5.7;-1;-8.94;6;0.26
5.7;-1;-8.97;6;0.27
5.7;-1;-9.00;6;0.29
5.7;-1;-9.03;6;0.30
5.7;-1;-9.09;5;0.30
5.7;-1;-9.12;5;0.26
5.7;-1;-9.15;5;0.28
5.7;-1;-9.18;5;0.30
5.7;-1;-9.21;5;0.27
5.7;-1;-9.24;5;0.28
5.7;-1;-9.27;5;0.32
5.7;-1;-9.30;5;0.32
5.7;-1;-9.36;5;0.34
5.7;-1;-9.39;5;0.35
5.7;-1;-9.42;5;0.31
5.7;-1;-9.45;5;0.32
5.7;-1;-9.48;5;0.26
5.7;-1;-9.51;5;0.29
5.7;-1;-9.54;5;0.27
5.7;-1;-9.60;5;0.29
5.7;-1;-9.63;5;0.32
5.7;-1;-9.66;5;0.25
5.7;-1;-9.69;5;0.26
5.7;-1;-9.72;5;0.31
5.7;-1;-9.75;5;0.30
5.7;-1;-9.78;5;0.25
5.7;-1;-9.81;5;0.31
5.7;-1;-9.84;5;0.26
5.7;-1;-9.87;5;0.34
5.7;-1;-9.90;5;0.28
5.7;-1;-9.93;5;0.31
5.7;-1;-9.96;5;0.30
5.7;-1;-9.99;5;0.27
5.7;-1;-10.02;5;0.26
5.7;-1;-10.05;5;0.28
5.7;-1;-10.08;5;0.30
5.7;-1;-10.11;5;0.35
5.7;-1;-10.17;5;0.29
5.7;-1;-10.20;5;0.34
5.7;-1;-10.23;5;0.33
5.7;-1;-10.26;5;0.31
5.7;-1;-10.29;5;0.31
5.7;-1;-10.32;5;0.34
5.7;-1;-10.35;5;0.27
5.7;-1;-10.38;5;0.25
5.7;-1;-10.41;5;0.34
5.7;-1;-10.44;5;0.29
5.7;-1;-10.47;5;0.34
5.7;-1;-10.50;5;0.25
5.7;-1;-10.53;5;0.31
5.7;-1;-10.56;5;0.31
5.7;-1;-10.59;5;0.30
5.7;-1;-10.62;5;0.35
5.7;-1;-10.65;5;0.32
5.7;-1;-10.68;5;0.31
5.7;-1;-10.71;5;0.30
5.7;-1;-10.74;5;0.33
5.7;-1;-10.77;5;0.31
5.7;-1;-10.80;5;0.31
5.7;-1;-10.83;5;0.26
5.7;-1;-10.89;7;0.31
5.7;-1;-10.92;7;0.33
5.7;-1;-10.95;7;0.35
5.7;-1;-10.98;7;0.30
5.7;-1;-11.01;7;0.33
5.7;-1;-11.04;7;0.32
5.7;-1;-11.07;7;0.34
5.7;-1;-11.10;7;0.34
5.7;-1;-11.13;7;0.31
5.7;-1;-11.16;7;0.35
5.7;-1;-11.19;7;0.30
5.7;-1;-11.22;7;0.34
5.7;-1;-11.25;7;0.31
5.7;-1;-11.28;7;0.35
5.7;-1;-11.31;7;0.32
5.7;-1;-11.34;7;0.33
5.7;-1;-11.37;7;0.32
5.7;-1;-11.40;7;0.35
5.7;-1;-11.43;7;0.30
5.7;-1;-11.49;7;0.32
5.7;-1;-11.52;7;0.34
5.7;-1;-11.55;7;0.31
5.7;-1;-11.58;7;0.31
5.7;-1;-11.61;7;0.35
5.7;-1;-11.64;7;0.33
5.7;-1;-11.67;7;0.33
5.7;-1;-11.70;7;0.35
5.7;-1;-11.73;7;0.35
5.7;-1;-11.76;7;0.35
5.7;-1;-11.79;7;0.34
5.7;-1;-11.82;7;0.32
5.7;-1;-11.85;7;0.31
5.7;-1;-11.88;7;0.33
5.7;-1;-11.91;7;0.34
5.7;-1;-11.94;7;0.33
5.7;-1;-11.97;7;0.34
5.7;-1;-12.00;8;0.12
5.7;-1;-12.03;8;0.12
5.7;-1;-12.06;8;0.14
5.7;-1;-12.09;8;0.12
5.7;-1;-12.12;8;0.13
5.7;-1;-12.15;8;0.14
5.7;-1;-12.18;8;0.15
5.7;-1;-12.21;8;0.14
5.7;-1;-12.24;8;0.13
5.7;-1;-12.27;8;0.11
5.7;-1;-12.30;8;0.10
5.7;-1;-12.33;8;0.14
5.7;-1;-12.36;8;0.14
5.7;-1;-12.39;8;0.12
5.7;-1;-12.42;8;0.13
5.7;-1;-12.45;8;0.12
5.7;-1;-12.48;8;0.12
5.7;-1;-12.51;8;0.12
5.7;-1;-12.54;8;0.12
5.7;-1;-12.57;8;0.15
5.7;-1;-12.60;8;0.10
5.7;-1;-12.63;8;0.12
5.7;-1;-12.66;8;0.15
5.7;-1;-12.69;8;0.14
5.7;-1;-12.72;8;0.14
5.7;-1;-12.75;8;0.13
5.7;-1;-12.78;8;0.11
5.7;-1;-12.81;8;0.12
5.7;-1;-12.84;8;0.12
5.7;-1;-12.87;8;0.11
5.7;-1;-12.90;8;0.10
5.7;-1;-12.93;8;0.13
5.7;-1;-12.96;8;0.13
5.7;-1;-12.99;8;0.13
5.7;-1;-13.02;8;0.12
5.7;-1;-13.05;8;0.12
5.7;-1;-13.08;8;0.11
5.7;-1;-13.11;8;0.13
5.7;-1;-13.14;8;0.14
5.7;-1;-13.17;8;0.15
5.7;-1;-13.20;8;0.11
5.7;-1;-13.23;8;0.15
5.7;-1;-13.26;8;0.14
5.7;-1;-13.29;8;0.11
5.7;-1;-13.32;8;0.13
5.7;-1;-13.35;8;0.14
5.7;-1;-13.38;8;0.13
5.7;-1;-13.41;8;0.15
5.7;-1;-13.44;8;0.14
5.7;-1;-13.47;8;0.14
5.7;-1;-13.50;8;0.11
5.7;-1;-13.53;8;0.15
5.7;-1;-13.56;8;0.14
5.7;-1;-13.59;8;0.13
5.7;-1;-13.62;8;0.13
5.7;-1;-13.65;8;0.12
5.7;-1;-13.68;8;0.15
5.7;-1;-13.71;8;0.11
5.7;-1;-13.74;8;0.10
5.7;-1;-13.77;8;0.13
5.7;-1;-13.80;8;0.14
5.7;-1;-13.83;8;0.13
5.7;-1;-13.86;8;0.15
5.7;-1;-13.89;8;0.10
5.7;-1;-13.92;8;0.11
5.7;-1;-13.95;8;0.14
5.7;-1;-13.98;8;0.13
5.7;-1;-14.01;8;0.10
5.7;-1;-14.04;8;0.14
5.7;-1;-14.07;8;0.11
5.7;-1;-14.10;8;0.12
5.7;-1;-14.13;8;0.13
5.7;-1;-14.16;8;0.10
5.7;-1;-14.19;8;0.12
5.7;-1;-14.22;8;0.15
5.7;-1;-14.25;8;0.12
5.7;-1;-14.28;8;0.13
5.7;-1;-14.31;8;0.13
5.7;-1;-14.34;8;0.12
5.7;-1;-14.37;8;0.11
5.7;-1;-14.40;8;0.12
5.7;-1;-14.43;8;0.13
5.7;-1;-14.46;8;0.11
5.7;-1;-14.49;8;0.14
5.7;-1;-14.52;8;0.11
5.7;-1;-14.55;8;0.12
5.7;-1;-14.58;8;0.13
5.7;-1;-14.61;8;0.14
5.7;-1;-14.64;8;0.13
5.7;-1;-14.67;8;0.11
5.7;-1;-14.70;8;0.11
5.7;-1;-14.73;8;0.15
5.7;-1;-14.76;8;0.13
5.7;-1;-14.79;8;0.15
5.7;-1;-14.82;8;0.15
5.7;-1;-14.85;8;0.11
5.7;-1;-14.88;8;0.12
5.7;-1;-14.91;8;0.14
5.7;-1;-14.94;8;0.12
5.7;-1;-14.97;8;0.14
5.7;-1;-15.00;8;0.13
14.3;-1;-0.15;-1;0.52
14.3;-1;-0.30;-1;0.32
14.3;-1;-0.45;-1;0.69
14.3;-1;-0.60;-1;0.80
14.3;-1;-0.75;-1;0.60
14.3;-1;-0.90;-1;0.80
14.3;-1;-1.05;-1;0.33
14.3;-1;-1.20;-1;0.35
14.3;-1;-1.35;-1;0.55
14.3;-1;-1.50;-1;0.44
14.3;-1;-1.65;-1;0.45
14.3;-1;-1.80;-1;0.37
14.3;-1;-1.95;-1;0.67
14.3;-1;-2.10;-1;0.60
14.3;-1;-2.73;2;0.42
14.3;-1;-2.76;2;0.46
14.3;-1;-2.79;2;0.50
14.3;-1;-2.82;2;0.49
14.3;-1;-2.85;2;0.49
14.3;-1;-2.88;2;0.47
14.3;-1;-2.91;2;0.47
14.3;-1;-2.94;2;0.41
14.3;-1;-2.97;2;0.47
14.3;-1;-3.00;2;0.40
14.3;-1;-3.03;2;0.45
14.3;-1;-3.09;2;0.43
14.3;-1;-3.12;2;0.48
14.3;-1;-3.15;2;0.49
14.3;-1;-3.18;2;0.44
14.3;-1;-3.21;2;0.48
14.3;-1;-3.24;2;0.44
14.3;-1;-3.27;2;0.45
14.3;-1;-3.30;2;0.50
14.3;-1;-3.33;2;0.44
14.3;-1;-3.36;2;0.42
14.3;-1;-3.39;2;0.45
14.3;-1;-3.42;2;0.43
14.3;-1;-3.45;2;0.42
14.3;-1;-3.48;2;0.48
14.3;-1;-3.51;2;0.48
14.3;-1;-3.54;2;0.41
14.3;-1;-3.57;2;0.42
14.3;-1;-3.60;2;0.42
14.3;-1;-3.63;2;0.42
14.3;-1;-3.66;2;0.49
14.3;-1;-3.69;2;0.41
14.3;-1;-3.72;2;0.49
14.3;-1;-3.75;2;0.41
14.3;-1;-3.81;3;0.49
14.3;-1;-3.84;3;0.49
14.3;-1;-3.87;3;0.42
14.3;-1;-3.90;3;0.44
14.3;-1;-3.93;3;0.48
14.3;-1;-3.96;3;0.44
14.3;-1;-3.99;3;0.44
14.3;-1;-4.02;3;0.45
14.3;-1;-4.05;3;0.41
14.3;-1;-4.08;3;0.43
14.3;-1;-4.11;3;0.44
14.3;-1;-4.14;3;0.43
14.3;-1;-4.17;3;0.49
14.3;-1;-4.20;3;0.45
14.3;-1;-4.23;3;0.48
14.3;-1;-4.26;3;0.49
14.3;-1;-4.29;3;0.41
14.3;-1;-4.32;3;0.41
14.3;-1;-4.35;3;0.46
14.3;-1;-4.38;3;0.44
14.3;-1;-4.41;3;0.48
14.3;-1;-4.44;3;0.42
14.3;-1;-4.47;3;0.45
14.3;-1;-4.50;3;0.47
14.3;-1;-4.53;3;0.41
14.3;-1;-4.56;3;0.48
14.3;-1;-4.59;3;0.45
14.3;-1;-4.62;3;0.45
14.3;-1;-4.65;3;0.42
14.3;-1;-4.68;3;0.46
14.3;-1;-4.71;3;0.45
14.3;-1;-4.74;3;0.45
14.3;-1;-4.77;3;0.46
14.3;-1;-4.80;3;0.41
14.3;-1;-4.86;3;0.43
14.3;-1;-4.89;3;0.43
14.3;-1;-4.92;3;0.40
14.3;-1;-4.95;3;0.46
14.3;-1;-5.10;3;0.43
14.3;-1;-5.13;3;0.45
14.3;-1;-5.16;3;0.49
14.3;-1;-5.19;3;0.48
14.3;-1;-5.22;3;0.42
14.3;-1;-5.25;3;0.41
14.3;-1;-5.28;3;0.42
14.3;-1;-5.31;3;0.46
14.3;-1;-5.34;3;0.44
14.3;-1;-5.40;5;0.27
14.3;-1;-5.43;5;0.31
14.3;-1;-5.46;5;0.30
14.3;-1;-5.49;5;0.26
14.3;-1;-5.52;5;0.30
14.3;-1;-5.55;5;0.33
14.3;-1;-5.58;5;0.25
14.3;-1;-5.61;5;0.32
14.3;-1;-5.64;5;0.32
14.3;-1;-5.67;5;0.34
14.3;-1;-5.70;5;0.34
14.3;-1;-5.73;5;0.31
14.3;-1;-5.76;5;0.31
14.3;-1;-5.79;5;0.26
14.3;-1;-5.82;5;0.30
14.3;-1;-5.85;5;0.29
14.3;-1;-5.88;5;0.28
14.3;-1;-5.91;5;0.30
14.3;-1;-5.94;5;0.29
14.3;-1;-5.97;5;0.32
14.3;-1;-6.00;5;0.34
14.3;-1;-6.03;5;0.33
14.3;-1;-6.06;5;0.32
14.3;-1;-6.09;5;0.29
14.3;-1;-6.12;5;0.26
14.3;-1;-6.15;5;0.31
14.3;-1;-6.18;5;0.27
14.3;-1;-6.21;5;0.34
14.3;-1;-6.24;5;0.33
14.3;-1;-6.27;5;0.30
14.3;-1;-6.30;5;0.27
14.3;-1;-6.33;5;0.31
14.3;-1;-6.39;5;0.29
14.3;-1;-6.42;5;0.33
14.3;-1;-6.45;5;0.35
14.3;-1;-6.48;5;0.33
14.3;-1;-6.51;5;0.28
14.3;-1;-6.54;5;0.32
14.3;-1;-6.57;5;0.30
14.3;-1;-6.60;5;0.25
14.3;-1;-6.63;5;0.33
14.3;-1;-6.66;5;0.32
14.3;-1;-6.69;5;0.32
14.3;-1;-6.72;5;0.25
14.3;-1;-6.75;5;0.29
14.3;-1;-6.93;3;0.47
14.3;-1;-6.96;3;0.44
14.3;-1;-6.99;3;0.48
14.3;-1;-7.02;3;0.43
14.3;-1;-7.05;3;0.46
14.3;-1;-7.08;3;0.49
14.3;-1;-7.11;3;0.46
14.3;-1;-7.14;3;0.49
14.3;-1;-7.17;3;0.43
14.3;-1;-7.20;3;0.44
14.3;-1;-7.23;3;0.49
14.3;-1;-7.26;3;0.42
14.3;-1;-7.32;3;0.49
14.3;-1;-7.35;3;0.42
14.3;-1;-7.38;3;0.49
14.3;-1;-7.41;3;0.46
14.3;-1;-7.44;3;0.40
14.3;-1;-7.47;3;0.50
14.3;-1;-7.50;3;0.42
14.3;-1;-7.53;3;0.40
14.3;-1;-7.56;3;0.49
14.3;-1;-7.59;3;0.47
14.3;-1;-7.62;3;0.48
14.3;-1;-7.65;3;0.42
14.3;-1;-7.68;3;0.46
14.3;-1;-7.74;5;0.32
14.3;-1;-7.77;5;0.34
14.3;-1;-7.80;5;0.28
14.3;-1;-7.83;5;0.26
14.3;-1;-7.86;5;0.26
14.3;-1;-7.89;5;0.34
14.3;-1;-7.92;5;0.28
14.3;-1;-7.95;5;0.27
14.3;-1;-7.98;5;0.30
14.3;-1;-8.01;5;0.32
14.3;-1;-8.04;5;0.31
14.3;-1;-8.07;5;0.35
14.3;-1;-8.10;5;0.25
14.3;-1;-8.13;5;0.29
14.3;-1;-8.16;5;0.28
14.3;-1;-8.19;5;0.31
14.3;-1;-8.22;5;0.34
14.3;-1;-8.25;5;0.33
14.3;-1;-8.28;5;0.34
14.3;-1;-8.31;5;0.28
14.3;-1;-8.34;5;0.27
14.3;-1;-8.37;5;0.35
14.3;-1;-8.40;5;0.25
14.3;-1;-8.46;6;0.34
14.3;-1;-8.49;6;0.31
14.3;-1;-8.52;6;0.33
14.3;-1;-8.55;6;0.33
14.3;-1;-8.58;6;0.27
14.3;-1;-8.61;6;0.32
14.3;-1;-8.64;6;0.26
14.3;-1;-8.67;6;0.31
14.3;-1;-8.70;6;0.30
14.3;-1;-8.73;6;0.32
14.3;-1;-8.79;5;0.31
14.3;-1;-8.82;5;0.25
14.3;-1;-8.85;5;0.35
14.3;-1;-8.88;5;0.26
14.3;-1;-8.91;5;0.31
14.3;-1;-8.94;5;0.33
14.3;-1;-8.97;5;0.30
14.3;-1;-9.00;5;0.27
14.3;-1;-9.03;5;0.31
14.3;-1;-9.06;5;0.32
14.3;-1;-9.09;5;0.32
14.3;-1;-9.12;5;0.25
14.3;-1;-9.15;5;0.31
14.3;-1;-9.18;5;0.27
14.3;-1;-9.21;5;0.29
14.3;-1;-9.36;3;0.46
14.3;-1;-9.39;3;0.40
14.3;-1;-9.42;3;0.48
14.3;-1;-9.45;3;0.42
14.3;-1;-9.48;3;0.40
14.3;-1;-9.51;3;0.42
14.3;-1;-9.54;3;0.48
14.3;-1;-9.57;3;0.41
14.3;-1;-9.60;3;0.45
14.3;-1;-9.63;3;0.48
14.3;-1;-9.66;3;0.48
14.3;-1;-9.69;3;0.43
14.3;-1;-9.72;3;0.48
14.3;-1;-9.75;3;0.47
14.3;-1;-9.78;3;0.46
14.3;-1;-9.81;3;0.43
14.3;-1;-9.84;3;0.47
14.3;-1;-9.87;3;0.50
14.3;-1;-9.90;3;0.41
14.3;-1;-9.93;3;0.50
14.3;-1;-9.99;3;0.49
14.3;-1;-10.02;3;0.44
14.3;-1;-10.05;3;0.46
14.3;-1;-10.08;3;0.46
14.3;-1;-10.11;3;0.48
14.3;-1;-10.14;3;0.50
14.3;-1;-10.17;3;0.45
14.3;-1;-10.20;3;0.41
14.3;-1;-10.26;5;0.29
14.3;-1;-10.29;5;0.31
14.3;-1;-10.32;5;0.32
14.3;-1;-10.35;5;0.33
14.3;-1;-10.38;5;0.28
14.3;-1;-10.44;5;0.32
14.3;-1;-10.47;5;0.28
14.3;-1;-10.50;5;0.32
14.3;-1;-10.53;5;0.31
14.3;-1;-10.56;5;0.32
14.3;-1;-10.59;5;0.34
14.3;-1;-10.62;5;0.32
14.3;-1;-10.65;5;0.34
14.3;-1;-10.68;5;0.28
14.3;-1;-10.71;5;0.34
14.3;-1;-10.74;5;0.31
14.3;-1;-10.77;5;0.33
14.3;-1;-10.80;5;0.31
14.3;-1;-10.83;5;0.35
14.3;-1;-10.86;5;0.26
14.3;-1;-10.89;5;0.28
14.3;-1;-10.92;5;0.31
14.3;-1;-10.95;5;0.31
14.3;-1;-10.98;5;0.34
14.3;-1;-11.01;5;0.31
14.3;-1;-11.04;5;0.35
14.3;-1;-11.07;5;0.28
14.3;-1;-11.10;5;0.27
14.3;-1;-11.13;5;0.30
14.3;-1;-11.16;5;0.32
14.3;-1;-11.22;5;0.34
14.3;-1;-11.25;5;0.35
14.3;-1;-11.28;5;0.31
14.3;-1;-11.31;5;0.26
14.3;-1;-11.34;5;0.34
14.3;-1;-11.37;5;0.28
14.3;-1;-11.40;5;0.33
14.3;-1;-11.43;5;0.25
14.3;-1;-11.46;5;0.34
14.3;-1;-11.49;5;0.33
14.3;-1;-11.52;5;0.32
14.3;-1;-11.55;5;0.26
14.3;-1;-11.58;5;0.25
14.3;-1;-11.61;5;0.31
14.3;-1;-11.64;5;0.31
14.3;-1;-11.70;7;0.32
14.3;-1;-11.73;7;0.33
14.3;-1;-11.76;7;0.35
14.3;-1;-11.79;7;0.32
14.3;-1;-11.82;7;0.33
14.3;-1;-11.85;7;0.30
14.3;-1;-11.88;7;0.35
14.3;-1;-11.91;7;0.33
14.3;-1;-11.94;7;0.31
14.3;-1;-11.97;7;0.33
14.3;-1;-12.00;7;0.34
14.3;-1;-12.03;7;0.30
14.3;-1;-12.06;7;0.31
14.3;-1;-12.09;7;0.32
14.3;-1;-12.12;7;0.34
14.3;-1;-12.15;7;0.35
14.3;-1;-12.18;7;0.30
14.3;-1;-12.21;7;0.34
14.3;-1;-12.27;7;0.35
14.3;-1;-12.30;7;0.31
14.3;-1;-12.33;7;0.33
14.3;-1;-12.36;7;0.34
14.3;-1;-12.39;7;0.32
14.3;-1;-12.42;7;0.34
14.3;-1;-12.45;7;0.34
14.3;-1;-12.48;7;0.30
14.3;-1;-12.51;7;0.33
14.3;-1;-12.54;7;0.31
14.3;-1;-12.57;7;0.33
14.3;-1;-12.60;7;0.35
14.3;-1;-12.63;7;0.30
14.3;-1;-12.66;7;0.34
14.3;-1;-12.69;8;0.10
14.3;-1;-12.72;8;0.14
14.3;-1;-12.75;8;0.14
14.3;-1;-12.78;8;0.12
14.3;-1;-12.81;8;0.11
14.3;-1;-12.84;8;0.14
14.3;-1;-12.87;8;0.11
14.3;-1;-12.90;8;0.11
14.3;-1;-12.93;8;0.10
14.3;-1;-12.96;8;0.12
14.3;-1;-12.99;8;0.13
14.3;-1;-13.02;8;0.13
14.3;-1;-13.05;8;0.15
14.3;-1;-13.08;8;0.15
14.3;-1;-13.11;8;0.15
14.3;-1;-13.14;8;0.12
14.3;-1;-13.17;8;0.13
14.3;-1;-13.20;8;0.10
14.3;-1;-13.23;8;0.14
14.3;-1;-13.26;8;0.13
14.3;-1;-13.29;8;0.11
14.3;-1;-13.32;8;0.13
14.3;-1;-13.35;8;0.12
14.3;-1;-13.38;8;0.12
14.3;-1;-13.41;8;0.11
14.3;-1;-13.44;8;0.14
14.3;-1;-13.47;8;0.13
14.3;-1;-13.50;8;0.13
14.3;-1;-13.53;8;0.14
14.3;-1;-13.56;8;0.13
14.3;-1;-13.59;8;0.14
14.3;-1;-13.62;8;0.11
14.3;-1;-13.65;8;0.13
14.3;-1;-13.68;8;0.11
14.3;-1;-13.71;8;0.13
